"lang"
{
"Language"	"danish"
"classinfo_heavy"	"Spin din minikanon uden at affyre den, så du er parat til angribende fjender!"
"[english]classinfo_heavy"	"Spin your minigun without firing to be ready for approaching enemies!"
"classinfo_pyro"	"Lok fjenderne i baghold ved hjørnerne!
Din flammekaster er mere effektiv, jo tættere du er på dit mål!"
"[english]classinfo_pyro"	"Ambush enemies at corners!
Your flamethrower is more effective the closer you are to your target!"
"classinfo_spy"	"Forklæd dig selv som en fjende, og infiltrer fjendens base!
Skjul dig, så du undgår at blive set!
Stik dine fjender i ryggen med din kniv, og dræb dem med det samme!
Placer miner på fjendens robotgeværer for at ødelægge dem!"
"[english]classinfo_spy"	"Disguise yourself as a enemy and infiltrate the enemy base!
cloak yourself to avoid being seen!
Backstab your enemies with your knife for an instant kill!
Plant sappers on enemy sentry guns to destroy them!"
"classinfo_engineer"	"Saml metal fra tabte våben til at bygge med!
Byg robotgeværer til at forsvare din base! Opgrader dem til niveau 3!
Byg automater til at forsyne dine holdkammerater med medicin og ammunition!
Byg teleporte til at hjælpe dine holdkammerater med at komme frem til frontlinjerne!"
"[english]classinfo_engineer"	"Collect metal from fallen weapons to build with!
Build sentry guns to defend your base! Upgrade them to level 3!
Build dispensers to supply your teammates with health & ammo!
Build teleporters to help team mates get to the front lines!"
"classinfo_random"	"Lad spillet vælge en tilfældig klasse for dig."
"[english]classinfo_random"	"Let the game randomly choose a class for you."
"TF_Welcome"	"Velkommen"
"[english]TF_Welcome"	"Welcome"
"TF_Welcome_birthday"	"Velkommen og tillykke med fødselsdagen TF2!"
"[english]TF_Welcome_birthday"	"Welcome and Happy Birthday TF2!"
"TF_Welcome_halloween"	"Velkommen og glædelig halloween!"
"[english]TF_Welcome_halloween"	"Welcome and Happy Halloween!"
"TF_Cancel"	"ANNULLER (&0)"
"[english]TF_Cancel"	"CANCEL (&0)"
"TF_Back"	"&TILBAGE"
"[english]TF_Back"	"&BACK"
"TF_WatchIntro"	"&SE FILM"
"[english]TF_WatchIntro"	"&WATCH MOVIE"
"Button_SkipIntro"	"&SPRING FILM OVER"
"[english]Button_SkipIntro"	"&SKIP MOVIE"
"TF_Continue"	"&FORTSÆT"
"[english]TF_Continue"	"&CONTINUE"
"TF_SelectATeam"	"VÆLG ET HOLD"
"[english]TF_SelectATeam"	"SELECT A TEAM"
"TF_SelectAClass"	"VÆLG EN KLASSE"
"[english]TF_SelectAClass"	"SELECT A CLASS"
"TF_AutoTeamSelect"	"AUTO-VÆLG"
"[english]TF_AutoTeamSelect"	"AUTO SELECT"
"TF_Spectate"	"KIG PÅ"
"[english]TF_Spectate"	"SPECTATE"
"TF_Play"	"SPIL!"
"[english]TF_Play"	"PLAY!"
"TF_Close"	"&LUK"
"[english]TF_Close"	"&CLOSE"
"TF_ResetStats"	"&NULSTIL STATISTIK"
"[english]TF_ResetStats"	"&RESET STATS"
"TF_NextTip"	"NÆSTE &TIP"
"[english]TF_NextTip"	"NEXT &TIP"
"TF_NextTip_360"	"Næste tip"
"[english]TF_NextTip_360"	"Next Tip"
"TF_Confirm"	"Bekræft"
"[english]TF_Confirm"	"Confirm"
"TF_ConfirmResetStats"	"Er du sikker på, at du vil nulstille din spillers statistik?
Efter nulstilling kan din gamle statistik ikke retableres!"
"[english]TF_ConfirmResetStats"	"Are you sure you want to reset your player stats?
Once reset your old stats cannot be recovered!"
"TF_TeamsSwitched"	"Holdene er blevet skiftet."
"[english]TF_TeamsSwitched"	"Teams have been switched."
"TF_ClassMenu_Reset"	"NULSTIL"
"[english]TF_ClassMenu_Reset"	"RESET"
"TF_WatchIntro_360"	"Se film"
"[english]TF_WatchIntro_360"	"Watch Movie"
"Button_SkipIntro_360"	"Spring over film"
"[english]Button_SkipIntro_360"	"Skip Movie"
"TF_Continue_360"	"Fortsæt"
"[english]TF_Continue_360"	"Continue"
"TF_Offense"	"ANGREB"
"[english]TF_Offense"	"OFFENSE"
"TF_Defense"	"FORSVAR"
"[english]TF_Defense"	"DEFENSE"
"TF_Support"	"SUPPORT"
"[english]TF_Support"	"SUPPORT"
"TF_Next"	"Næste"
"[english]TF_Next"	"Next"
"TF_Prev"	"Forrige"
"[english]TF_Prev"	"Previous"
"TF_NextPrev"	"Næste / Forrige"
"[english]TF_NextPrev"	"Next / Previous"
"TF_timeleft"	"Tid tilbage: %s1:%s2"
"[english]TF_timeleft"	"Time left:  %s1:%s2"
"TF_timeleft_nolimit"	"* Ingen tidsgrænse *"
"[english]TF_timeleft_nolimit"	"* No Time Limit *"
"TF_nextmap"	"Næste bane: %s1"
"[english]TF_nextmap"	"Next map : %s1"
"TF_PlayingTo"	"Spiller til: %rounds%"
"[english]TF_PlayingTo"	"Playing to: %rounds%"
"TF_Cloak"	"SKJUL"
"[english]TF_Cloak"	"CLOAK"
"TF_Metal"	"METAL"
"[english]TF_Metal"	"METAL"
"TF_Phase"	"UNDVIG"
"[english]TF_Phase"	"DODGE"
"TF_Ball"	"BOLD"
"[english]TF_Ball"	"BALL"
"TF_Jar"	"KRUKKE"
"[english]TF_Jar"	"JAR"
"TF_Rage"	"RASERI"
"[english]TF_Rage"	"RAGE"
"TF_Berzerk"	"HOVEDER"
"[english]TF_Berzerk"	"HEADS"
"TF_Charge"	"ANGREBSLØB"
"[english]TF_Charge"	"CHARGE"
"TF_OUT_OF_AMMO"	"IKKE MERE AMMUNITION"
"[english]TF_OUT_OF_AMMO"	"OUT OF AMMO"
"Game_connected"	"%s1 tilsluttet"
"[english]Game_connected"	"%s1 connected"
"game_spawn_as"	"*Du kommer ind som %s1"
"[english]game_spawn_as"	"*You will spawn as %s1"
"game_respawn_as"	"*Du vender tilbage som %s1"
"[english]game_respawn_as"	"*You will respawn as %s1"
"game_spawn_asrandom"	"*Du kommer ind med tilfældig rang"
"[english]game_spawn_asrandom"	"*You will spawn as random class"
"game_respawn_asrandom"	"*Du vender tilbage med tilfældig rang"
"[english]game_respawn_asrandom"	"*You will respawn as a random class"
"round_restart_in_sec"	"Runden starter igen om %s1 sekund"
"[english]round_restart_in_sec"	"The round will restart in %s1 second"
"round_restart_in_secs"	"Runden starter igen om %s1 sekunder"
"[english]round_restart_in_secs"	"The round will restart in %s1 seconds"
"game_restart_in_sec"	"Spillet starter igen om %s1 sekund"
"[english]game_restart_in_sec"	"The game will restart in %s1 second"
"game_restart_in_secs"	"Spillet starter igen om %s1 sekunder"
"[english]game_restart_in_secs"	"The game will restart in %s1 seconds"
"game_switch_in_sec"	"Skifter hold!
Spillet starter igen om %s1 sekund"
"[english]game_switch_in_sec"	"Switching teams!
The game will restart in %s1 second"
"game_switch_in_secs"	"Skifter hold!
Spillet starter igen om %s1 sekunder"
"[english]game_switch_in_secs"	"Switching teams!
The game will restart in %s1 seconds"
"game_scramble_in_sec"	"Gør holdene parate!
Spillet starter igen om %s1 sekund"
"[english]game_scramble_in_sec"	"Scrambling the teams!
The game will restart in %s1 second"
"game_scramble_in_secs"	"Gør holdene parate!
Spillet starter igen om %s1 sekunder"
"[english]game_scramble_in_secs"	"Scrambling the teams!
The game will restart in %s1 seconds"
"game_respawntime_now"	"Gør klar til at vende tilbage"
"[english]game_respawntime_now"	"Prepare to respawn"
"game_respawntime_in_sec"	"Vender tilbage om: 1 sekund"
"[english]game_respawntime_in_sec"	"Respawn in: 1 second"
"game_respawntime_in_secs"	"Vender tilbage om: %s1 sekunder"
"[english]game_respawntime_in_secs"	"Respawn in: %s1 seconds"
"game_respawntime_stalemate"	"Man kan ikke vende tilbage i Pludselig Død"
"[english]game_respawntime_stalemate"	"No respawning in Sudden Death"
"game_respawntime_next_round"	"Vender tilbage om: Vent indtil næste runde"
"[english]game_respawntime_next_round"	"Respawn in: Wait for next round"
"game_auto_team_balance_in"	"Holdene vil automatisk blive afbalancerede om %s1 sekunder."
"[english]game_auto_team_balance_in"	"Teams will be auto-balanced in %s1 seconds."
"game_player_was_team_balanced"	"%s1 blev flyttet til det andet hold af hensyn til spillets balance"
"[english]game_player_was_team_balanced"	"%s1 was moved to the other team for game balance"
"game_idle_kick"	"%s1 har stået stille for længe og er blevet sparket ud"
"[english]game_idle_kick"	"%s1 has been idle for too long and has been kicked"
"TF_MOTD_Title"	"DAGENS BESKED"
"[english]TF_MOTD_Title"	"MESSAGE OF THE DAY"
"TF_playerid_sameteam"	"%s1%s2"
"[english]TF_playerid_sameteam"	"%s1%s2"
"TF_playerid_diffteam"	"%s1Fjende: %s2"
"[english]TF_playerid_diffteam"	"%s1Enemy: %s2"
"TF_playerid_noteam"	"%s1"
"[english]TF_playerid_noteam"	"%s1"
"TF_playerid_object"	"%s1 bygget af %s2"
"[english]TF_playerid_object"	"%s1 built by %s2"
"TF_playerid_object_level"	"( Niveau %s1 )"
"[english]TF_playerid_object_level"	"( Level %s1 )"
"TF_playerid_object_upgrading"	"Opgraderingsforløb: %s1"
"[english]TF_playerid_object_upgrading"	"Upgrade Progress: %s1"
"TF_playerid_object_upgrading_level"	"( Niveau %s1 ) Opgraderingsforløb: %s2"
"[english]TF_playerid_object_upgrading_level"	"( Level %s1 ) Upgrade Progress: %s2"
"TF_playerid_object_diffteam"	"Fjendtlig %s1 bygget af %s2"
"[english]TF_playerid_object_diffteam"	"Enemy %s1 built by %s2"
"TF_playerid_object_recharging"	"Oplader: %s1%"
"[english]TF_playerid_object_recharging"	"Recharging: %s1%"
"TF_playerid_healer"	"Helbreder: "
"[english]TF_playerid_healer"	"Healer: "
"TF_playerid_healtarget"	"Helbreder: "
"[english]TF_playerid_healtarget"	"Healing: "
"TF_playerid_friendlyspy_disguise"	"Forklædt som %s1 %s2"
"[english]TF_playerid_friendlyspy_disguise"	"Disguised as %s1 %s2"
"TF_playerid_mediccharge"	"ÜberCharge: %s1%"
"[english]TF_playerid_mediccharge"	"ÜberCharge: %s1%"
"TF_playerid_mediccharge_wpn"	"ÜberCharge: %s1% (%s2)"
"[english]TF_playerid_mediccharge_wpn"	"ÜberCharge: %s1% (%s2)"
"TF_playerid_noheal"	"Equalizeren forhindrer helbredelse!"
"[english]TF_playerid_noheal"	"Equalizer blocks healing!"
"TF_friendly"	"venlig"
"[english]TF_friendly"	"friendly"
"TF_enemy"	"fjendtlig"
"[english]TF_enemy"	"enemy"
"TF_Title"	"TEAM FORTRESS"
"[english]TF_Title"	"TEAM FORTRESS"
"TF_ClassSpecific_Keys"	"KLASSESPECIFIKKE FÆRDIGHEDER"
"[english]TF_ClassSpecific_Keys"	"CLASS SPECIFIC SKILL"
"TF_ClassSkill_Medic"	"MEDIC: Brug ÜberCharge"
"[english]TF_ClassSkill_Medic"	"MEDIC: Deploy ÜberCharge"
"TF_ClassSkill_Heavy"	"HEAVY: Spin minikanonløb"
"[english]TF_ClassSkill_Heavy"	"HEAVY: Spin Minigun Barrel"
"TF_ClassSkill_Sniper"	"SNIPER: Zoom ind med snigskytteriffel"
"[english]TF_ClassSkill_Sniper"	"SNIPER: Zoom Sniper Rifle"
"TF_ClassSkill_Spy"	"SPY: Skjul/vis"
"[english]TF_ClassSkill_Spy"	"SPY: Cloak / Uncloak"
"TF_ClassSkill_Spy_LastDisguise"	"SPY: Sidste forklædning"
"[english]TF_ClassSkill_Spy_LastDisguise"	"SPY: Last Disguise"
"TF_ClassSkill_Spy_DisguiseTeam"	"SPY: Skift holdforklædning"
"[english]TF_ClassSkill_Spy_DisguiseTeam"	"SPY: Toggle Disguise Team"
"TF_ClassSkill_Demoman"	"DEMOMAN: Detoner klæbebomber"
"[english]TF_ClassSkill_Demoman"	"DEMOMAN: Detonate Stickybombs"
"TF_Call_For_Medic"	"Tilkald en Medic"
"[english]TF_Call_For_Medic"	"Call for a Medic"
"TF_DropFlag"	"Smid mappen"
"[english]TF_DropFlag"	"Drop the briefcase"
"TF_Switch_Classes_Immediately"	"Skift klasser med det samme"
"[english]TF_Switch_Classes_Immediately"	"Switch classes immediately"
"TF_Toggle_RoundInfo_Map"	"Skift Info-kort"
"[english]TF_Toggle_RoundInfo_Map"	"Toggle Round Info Map"
"TF_MapInfo"	"Vis baneoplysninger"
"[english]TF_MapInfo"	"Show Map Information"
"TF_Inspect"	"Inspicer mål"
"[english]TF_Inspect"	"Inspect Target"
"TF_voice_menu_A"	"Talemenu 1"
"[english]TF_voice_menu_A"	"Voice Menu 1"
"TF_voice_menu_B"	"Talemenu 2"
"[english]TF_voice_menu_B"	"Voice Menu 2"
"TF_voice_menu_C"	"Talemenu 3"
"[english]TF_voice_menu_C"	"Voice Menu 3"
"TF_freezecam_snapshot"	"[%s1] Gem dette øjeblik!"
"[english]TF_freezecam_snapshot"	"[%s1] Save this moment!"
"TF_Chat_Team_Loc"	"(HOLD) %s1 @ %s3 :  %s2"
"[english]TF_Chat_Team_Loc"	"(TEAM) %s1 @ %s3 :  %s2"
"TF_Chat_Team"	"(HOLD) %s1 :  %s2"
"[english]TF_Chat_Team"	"(TEAM) %s1 :  %s2"
"TF_Chat_Team_Dead"	"*DØD*(HOLD) %s1 :  %s2"
"[english]TF_Chat_Team_Dead"	"*DEAD*(TEAM) %s1 :  %s2"
"TF_Chat_Spec"	"(Tilskuer) %s1 :  %s2"
"[english]TF_Chat_Spec"	"(Spectator) %s1 :  %s2"
"TF_Chat_All"	"%s1 :  %s2"
"[english]TF_Chat_All"	"%s1 :  %s2"
"TF_Chat_AllDead"	"*DØD* %s1 :  %s2"
"[english]TF_Chat_AllDead"	"*DEAD* %s1 :  %s2"
"TF_Chat_AllSpec"	"*TILSK* %s1 :  %s2"
"[english]TF_Chat_AllSpec"	"*SPEC* %s1 :  %s2"
"TF_Name_Change"	"* %s1 skiftede navn til %s2"
"[english]TF_Name_Change"	"* %s1 changed name to %s2"
"TF_holiday_restriction_halloween"	"Helligdagsbegrænsning: Halloween"
"[english]TF_holiday_restriction_halloween"	"Holiday Restriction: Halloween"
"TF_Weapon_Bat"	"Bat"
"[english]TF_Weapon_Bat"	"Bat"
"TF_Weapon_Bottle"	"Flaske"
"[english]TF_Weapon_Bottle"	"Bottle"
"TF_Weapon_FireAxe"	"Økse"
"[english]TF_Weapon_FireAxe"	"Fire Axe"
"TF_Weapon_Club"	"Kukri"
"[english]TF_Weapon_Club"	"Kukri"
"TF_Weapon_Crowbar"	"Koben"
"[english]TF_Weapon_Crowbar"	"Crowbar"
"TF_Weapon_Bonesaw"	"Knoglesav"
"[english]TF_Weapon_Bonesaw"	"Bonesaw"
"TF_Weapon_FlameThrower"	"Flammekaster"
"[english]TF_Weapon_FlameThrower"	"Flame Thrower"
"TF_Weapon_GrenadeLauncher"	"Granatkaster"
"[english]TF_Weapon_GrenadeLauncher"	"Grenade Launcher"
"TF_Weapon_PipebombLauncher"	"Klæbebombekaster"
"[english]TF_Weapon_PipebombLauncher"	"Stickybomb Launcher"
"TF_Weapon_Knife"	"Kniv"
"[english]TF_Weapon_Knife"	"Knife"
"TF_Weapon_Medikit"	"Medicinsæt"
"[english]TF_Weapon_Medikit"	"Medikit"
"TF_Weapon_Minigun"	"Minikanon"
"[english]TF_Weapon_Minigun"	"Minigun"
"TF_Weapon_Pistol"	"Pistol"
"[english]TF_Weapon_Pistol"	"Pistol"
"TF_Weapon_Fists"	"Næver"
"[english]TF_Weapon_Fists"	"Fists"
"TF_Weapon_Revolver"	"Revolver"
"[english]TF_Weapon_Revolver"	"Revolver"
"TF_Weapon_RocketLauncher"	"Raketstyr"
"[english]TF_Weapon_RocketLauncher"	"Rocket Launcher"
"TF_Weapon_Shotgun"	"Haglgevær"
"[english]TF_Weapon_Shotgun"	"Shotgun"
"TF_Weapon_Shovel"	"Skovl"
"[english]TF_Weapon_Shovel"	"Shovel"
"TF_Weapon_SMG"	"Maskinpistol"
"[english]TF_Weapon_SMG"	"SMG"
"TF_Weapon_SniperRifle"	"Snigskytteriffel"
"[english]TF_Weapon_SniperRifle"	"Sniper Rifle"
"TF_Weapon_SuperSMG"	"Supermaskinpistol"
"[english]TF_Weapon_SuperSMG"	"Super SMG"
"TF_Weapon_StickybombLauncher"	"Klæbebombekaster"
"[english]TF_Weapon_StickybombLauncher"	"Stickybomb Launcher"
"TF_Weapon_Tranq"	"Bedøvelsespistol"
"[english]TF_Weapon_Tranq"	"Tranquilizer Gun"
"TF_Weapon_Wrench"	"Svensknøgle"
"[english]TF_Weapon_Wrench"	"Wrench"
"TF_Weapon_ObjectSelection"	"Byg"
"[english]TF_Weapon_ObjectSelection"	"Build"
"TF_Weapon_PDA_Engineer"	"PDA"
"[english]TF_Weapon_PDA_Engineer"	"PDA"
"TF_Weapon_Flag"	"Flag"
"[english]TF_Weapon_Flag"	"Flag"
"TF_Weapon_Nailgun"	"Sømpistol"
"[english]TF_Weapon_Nailgun"	"Nail Gun"
"TF_Weapon_Medigun"	"Medi-gevær"
"[english]TF_Weapon_Medigun"	"Medi Gun"
"TF_Weapon_Scattergun"	"Scattergevær"
"[english]TF_Weapon_Scattergun"	"Scattergun"
"TF_Weapon_SyringeGun"	"Sprøjtepistol"
"[english]TF_Weapon_SyringeGun"	"Syringe Gun"
"TF_Weapon_Watch"	"Usynlighedsur"
"[english]TF_Weapon_Watch"	"Invis Watch"
"TF_Weapon_FlareGun"	"Signalpistol"
"[english]TF_Weapon_FlareGun"	"Flare Gun"
"TF_Weapon_LunchBox"	"Madkasse"
"[english]TF_Weapon_LunchBox"	"Lunch Box"
"TF_Wearable_Shield"	"Skjold"
"[english]TF_Wearable_Shield"	"Shield"
"TF_Weapon_Jar"	"Krukkebaseret karate"
"[english]TF_Weapon_Jar"	"Jar Based Karate"
"TF_Weapon_CompoundBow"	"Bue"
"[english]TF_Weapon_CompoundBow"	"Bow"
"TF_Weapon_Battle_Banner"	"Kampbanner"
"[english]TF_Weapon_Battle_Banner"	"Battle Banner"
"TF_Weapon_Sword"	"Sværd"
"[english]TF_Weapon_Sword"	"Sword"
"TF_Weapon_Pickaxe"	"Hakke"
"[english]TF_Weapon_Pickaxe"	"Pickaxe"
"TF_Weapon_SledgeHammer"	"Forhammer"
"[english]TF_Weapon_SledgeHammer"	"Sledgehammer"
"TF_Weapon_MakeshiftClub"	"Improviseret kølle"
"[english]TF_Weapon_MakeshiftClub"	"Makeshift Club"
"TF_Wearable_Boots"	"Støvler"
"[english]TF_Wearable_Boots"	"Boots"
"TF_Wearable_Medal"	"Medalje"
"[english]TF_Wearable_Medal"	"Medal"
"TF_Wearable_Holiday_Hat"	"Helligdagshat"
"[english]TF_Wearable_Holiday_Hat"	"Holiday Hat"
"TF_Wearable_HonestyHalo"	"Aura af ubestikkelighed"
"[english]TF_Wearable_HonestyHalo"	"Aura of Incorruptibility"
"TF_Scout_Hat_1"	"Batter-hjelm"
"[english]TF_Scout_Hat_1"	"Batter's Helmet"
"TF_Sniper_Hat_1"	"Trofæbælte"
"[english]TF_Sniper_Hat_1"	"Trophy Belt"
"TF_Soldier_Hat_1"	"Soldatergemmested"
"[english]TF_Soldier_Hat_1"	"Soldier's Stash"
"TF_Demo_Hat_1"	"Demoman-frisure"
"[english]TF_Demo_Hat_1"	"Demoman's Fro"
"TF_Medic_Hat_1"	"Preussisk pikkelhjelm"
